landmark_index,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype
1,1,-14.29,-4.76,-0.79,0,50,19,12.88559065,mt-at
2,1,-14.29,-4.76,-1.57,-0.79,50,0,NA,mt-at
3,1,-14.29,-4.76,-2.36,-1.57,50,0,NA,mt-at
4,1,-14.29,-4.76,-3.14,-2.36,50,0,NA,mt-at
5,1,-14.29,-4.76,0,0.79,50,1,2.318040627,mt-at
6,1,-14.29,-4.76,0.79,1.57,50,49,9.531598356,mt-at
7,1,-14.29,-4.76,1.57,2.36,50,0,NA,mt-at
8,1,-14.29,-4.76,2.36,3.14,50,0,NA,mt-at
9,1,-23.82,-14.29,-0.79,0,50,468,9.478221849,mt-at
10,1,-23.82,-14.29,-1.57,-0.79,50,59,3.836054555,mt-at
11,1,-23.82,-14.29,-2.36,-1.57,50,1,5.811333455,mt-at
12,1,-23.82,-14.29,-3.14,-2.36,50,2,3.849932328,mt-at
13,1,-23.82,-14.29,0,0.79,50,0,NA,mt-at
14,1,-23.82,-14.29,0.79,1.57,50,1,8.489254145,mt-at
15,1,-23.82,-14.29,1.57,2.36,50,0,NA,mt-at
16,1,-23.82,-14.29,2.36,3.14,50,0,NA,mt-at
17,1,-33.35,-23.82,-0.79,0,50,0,NA,mt-at
18,1,-33.35,-23.82,-1.57,-0.79,50,18,3.95739324,mt-at
19,1,-33.35,-23.82,-2.36,-1.57,50,9,7.225858741,mt-at
20,1,-33.35,-23.82,-3.14,-2.36,50,4,4.298865326,mt-at
21,1,-33.35,-23.82,0,0.79,50,0,NA,mt-at
22,1,-33.35,-23.82,0.79,1.57,50,0,NA,mt-at
23,1,-33.35,-23.82,1.57,2.36,50,84,4.502457777,mt-at
24,1,-33.35,-23.82,2.36,3.14,50,64,5.251853667,mt-at
25,1,-4.76,4.76,-0.79,0,50,0,NA,mt-at
26,1,-4.76,4.76,-1.57,-0.79,50,0,NA,mt-at
27,1,-4.76,4.76,-2.36,-1.57,50,0,NA,mt-at
28,1,-4.76,4.76,-3.14,-2.36,50,0,NA,mt-at
29,1,-4.76,4.76,0,0.79,50,0,NA,mt-at
30,1,-4.76,4.76,0.79,1.57,50,1,13.20512129,mt-at
31,1,-4.76,4.76,1.57,2.36,50,6,12.61214468,mt-at
32,1,-4.76,4.76,2.36,3.14,50,0,NA,mt-at
33,1,-42.88,-33.35,-0.79,0,50,0,NA,mt-at
34,1,-42.88,-33.35,-1.57,-0.79,50,197,7.755235484,mt-at
35,1,-42.88,-33.35,-2.36,-1.57,50,0,5.79153656,mt-at
36,1,-42.88,-33.35,-3.14,-2.36,50,100,2.983484949,mt-at
37,1,-42.88,-33.35,0,0.79,50,0,NA,mt-at
38,1,-42.88,-33.35,0.79,1.57,50,91,3.113202202,mt-at
39,1,-42.88,-33.35,1.57,2.36,50,244,2.227558424,mt-at
40,1,-42.88,-33.35,2.36,3.14,50,138,2.431482862,mt-at
41,1,-52.4,-42.88,-0.79,0,50,53,1.446585448,mt-at
42,1,-52.4,-42.88,-1.57,-0.79,50,109,1.94904937,mt-at
43,1,-52.4,-42.88,-2.36,-1.57,50,238,1.506338653,mt-at
44,1,-52.4,-42.88,-3.14,-2.36,50,311,1.99797819,mt-at
45,1,-52.4,-42.88,0,0.79,50,4,1.469677059,mt-at
